127.0.0.1 - - [20/Jul/2022:15:48:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:45:11 +0900] "GET /html_1/assets/css/header.css HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:45:20 +0900] "GET /html_1/about/about.jsp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:47:03 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:47:03 +0900] "GET /html_1/assets/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:47:03 +0900] "GET /html_1/assets/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:47:05 +0900] "GET /html_1/booking/hospital.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:49:06 +0900] "GET /html_1/main/main.do HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:49:13 +0900] "GET /html_1/main/main.do HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:49:15 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:49:15 +0900] "GET /html_1/assets/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:49:15 +0900] "GET /html_1/assets/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:49:16 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:50:04 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2679
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:50:04 +0900] "GET /html_1/assets/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:50:06 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2679
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:50:32 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:50:39 +0900] "GET /html_1/assets/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:10 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:14 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:14 +0900] "GET /html_1/assets/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:36 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:36 +0900] "GET /html_1/assets/css/footer.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:36 +0900] "GET /html_1/assets/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:38 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:39 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:39 +0900] "GET /html_1/assets/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:40 +0900] "GET /html_1/about/about.jsp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:42 +0900] "GET /html_1/assets/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:43 +0900] "GET /html_1/rec/rec_main.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:51 +0900] "GET /html_1/main/main.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [20/Jul/2022:16:51:51 +0900] "GET /html_1/assets/css/footer.css HTTP/1.1" 304 -
